Region;Physics 2019;Physics 2020
Вінницька область;131.3508771929824561;136.8239051094890511
Волинська область;137.1192660550458716;140.9148936170212766
Дніпропетровська область;128.3837579617834395;137.2644084934277048
Донецька область;110.9826086956521739;134.5874263261296660
Житомирська область;131.1612903225806452;134.2558869701726845
Закарпатська область;131.8955223880597015;133.6529411764705882
Запорізька область;118.4531835205992509;133.5082508250825083
Івано-Франківська область;134.7746478873239437;139.6232876712328767
Київська область;130.2705882352941176;135.8668146503884573
Кіровоградська область;131.4133333333333333;138.3296089385474860
Луганська область;115.9605263157894737;134.9196141479099678
Львівська область;141.7780548628428928;141.5491143317230274
м.Київ;154.0211180124223602;149.3245436105476673
Миколаївська область;118.1704035874439462;134.2026143790849673
Одеська область;122.5367762128325509;131.3308550185873606
Полтавська область;123.7903225806451613;138.4336283185840708
Рівненська область;133.2653061224489796;140.3507565337001376
Сумська область;123.1182795698924731;139.2422839506172840
Тернопільська область;131.7386363636363636;137.1138716356107660
Харківська область;133.6872340425531915;139.2569198012775018
Херсонська область;120.6918604651162791;140.6451016635859519
Хмельницька область;132.0864864864864865;139.1278538812785388
Черкаська область;124.4836065573770492;137.9287925696594427
Чернівецька область;132.3000000000000000;138.4053030303030303
Чернігівська область;130.2848837209302326;139.8911222780569514
